fecha,ciudad,temperatura_c,precipitacion_mm
2024-01-01,Aguascalientes,13.0,0
2024-01-02,Aguascalientes,14.4,2.8
2024-01-03,Aguascalientes,15.8,0.2
2024-01-04,Aguascalientes,14.9,2.8
2024-01-05,Aguascalientes,14.4,1.1
2024-01-06,Aguascalientes,14.2,2.7
2024-01-07,Aguascalientes,15.4,1.0
2024-01-08,Aguascalientes,17.3,1.8
2024-01-09,Aguascalientes,17.4,1.6
2024-01-10,Aguascalientes,21.0,2.6
2024-01-11,Aguascalientes,14.2,2.3
2024-01-12,Aguascalientes,15.9,1.9
2024-01-13,Aguascalientes,15.7,1.6
2024-01-14,Aguascalientes,15.4,1.1
2024-01-15,Aguascalientes,13.7,0.8
2024-01-16,Aguascalientes,14.8,1.4
2024-01-17,Aguascalientes,16.8,0.7
2024-01-18,Aguascalientes,18.0,2.2
2024-01-19,Aguascalientes,16.0,0.3
2024-01-20,Aguascalientes,15.1,0.6
2024-01-21,Aguascalientes,18.1,2.7
2024-01-22,Aguascalientes,19.0,0.8
2024-01-23,Aguascalientes,19.2,0.5
2024-01-24,Aguascalientes,16.2,0.6
2024-01-25,Aguascalientes,19.6,1.1
2024-01-26,Aguascalientes,19.1,1.1
2024-01-27,Aguascalientes,20.2,0.6
2024-01-28,Aguascalientes,13.7,1.6
2024-01-29,Aguascalientes,18.7,0.9
2024-01-30,Aguascalientes,14.3,1.8
2024-01-31,Aguascalientes,20.7,0.7
2024-02-01,Aguascalientes,18.3,1.7
2024-02-02,Aguascalientes,21.5,0.8
2024-02-03,Aguascalientes,19.7,1.6
2024-02-04,Aguascalientes,17.0,3.6
2024-02-05,Aguascalientes,17.5,0
2024-02-06,Aguascalientes,20.0,0.8
2024-02-07,Aguascalientes,15.3,2.0
2024-02-08,Aguascalientes,16.4,0
2024-02-09,Aguascalientes,24.1,1.4
2024-02-10,Aguascalientes,19.8,2.5
2024-02-11,Aguascalientes,18.6,1.9
2024-02-12,Aguascalientes,22.6,1.0
2024-02-13,Aguascalientes,18.4,0.1
2024-02-14,Aguascalientes,19.0,1.0
2024-02-15,Aguascalientes,20.8,0.1
2024-02-16,Aguascalientes,16.9,1.3
2024-02-17,Aguascalientes,19.5,0.9
2024-02-18,Aguascalientes,17.7,0
2024-02-19,Aguascalientes,21.2,3.4
2024-02-20,Aguascalientes,18.0,0.8
2024-02-21,Aguascalientes,20.8,0.1
2024-02-22,Aguascalientes,20.4,0
2024-02-23,Aguascalientes,22.7,0.1
2024-02-24,Aguascalientes,16.6,2.1
2024-02-25,Aguascalientes,22.8,1.6
2024-02-26,Aguascalientes,17.0,1.5
2024-02-27,Aguascalientes,19.8,1.3
2024-02-28,Aguascalientes,23.9,0.2
2024-02-29,Aguascalientes,22.2,1.0
2024-03-01,Aguascalientes,21.0,1.9
2024-03-02,Aguascalientes,22.4,3.9
2024-03-03,Aguascalientes,18.5,1.6
2024-03-04,Aguascalientes,23.4,2.3
2024-03-05,Aguascalientes,19.7,1.0
2024-03-06,Aguascalientes,18.9,2.3
2024-03-07,Aguascalientes,19.4,0
2024-03-08,Aguascalientes,21.1,0.4
2024-03-09,Aguascalientes,21.0,2.2
2024-03-10,Aguascalientes,20.0,1.7
2024-03-11,Aguascalientes,21.1,1.4
2024-03-12,Aguascalientes,20.7,1.8
2024-03-13,Aguascalientes,22.5,2.4
2024-03-14,Aguascalientes,19.5,0.3
2024-03-15,Aguascalientes,23.5,1.0
2024-03-16,Aguascalientes,21.0,2.6
2024-03-17,Aguascalientes,21.9,0
2024-03-18,Aguascalientes,23.3,0.5
2024-03-19,Aguascalientes,23.4,1.5
2024-03-20,Aguascalientes,22.4,1.6
2024-03-21,Aguascalientes,23.8,2.6
2024-03-22,Aguascalientes,22.9,2.0
2024-03-23,Aguascalientes,19.8,2.2
2024-03-24,Aguascalientes,24.1,1.4
2024-03-25,Aguascalientes,26.4,0.7
2024-03-26,Aguascalientes,22.7,1.6
2024-03-27,Aguascalientes,26.2,1.7
2024-03-28,Aguascalientes,23.3,0.3
2024-03-29,Aguascalientes,24.2,0
2024-03-30,Aguascalientes,24.7,0.5
2024-03-31,Aguascalientes,23.1,0.2
2024-04-01,Aguascalientes,25.2,2.2
2024-04-02,Aguascalientes,23.7,1.4
