isbn,titulo,autor,genero,anio_publicacion,num_paginas
978-600000037,Cien Anios de Soledad,Gabriel Garcia Marquez,Novela,1967,320
978-600000074,Rayuela,Julio Cortazar,Novela,1963,280
978-600000111,Pedro Paramo,Juan Rulfo,Novela,1955,190
978-600000148,La Casa de los Espiritus,Isabel Allende,Novela,1982,340
978-600000185,Una Breve Historia del Tiempo,Stephen Hawking,Ciencia,1988,250
978-600000222,Cosmos,Carl Sagan,Ciencia,1980,400
978-600000259,El Gen Egoista,Richard Dawkins,Ciencia,1976,380
978-600000296,Sapiens,Yuval Noah Harari,Historia,2011,450
978-600000333,Guns Germs and Steel,Jared Diamond,Historia,1997,500
978-600000370,Historia Minima de Mexico,Daniel Cosio Villegas,Historia,1973,220
978-600000407,Veinte Poemas de Amor,Pablo Neruda,Poesia,1924,120
978-600000444,Trilce,Cesar Vallejo,Poesia,1922,140
978-600000481,Antologia Poetica,Octavio Paz,Poesia,1990,200
978-600000518,El Laberinto de la Soledad,Octavio Paz,Ensayo,1950,260
978-600000555,Como Agua para Chocolate,Laura Esquivel,Novela,1989,210
978-600000592,Los Detectives Salvajes,Roberto Bolano,Novela,1998,600
978-600000629,Fisica para Poetas,Robert March,Ciencia,1970,300
978-600000666,Breve Historia de Casi Todo,Bill Bryson,Ciencia,2003,540
978-600000703,El Odio a la Musica,Pascal Quignard,Ensayo,1996,180
978-600000740,Steve Jobs,Walter Isaacson,Biografia,2011,620
978-600000777,Los Diarios de Frida,Frida Kahlo,Biografia,1995,260
978-600000814,El Hobbit,J.R.R. Tolkien,Fantasia,1937,310
978-600000851,El Nombre del Viento,Patrick Rothfuss,Fantasia,2007,660
978-600000888,Assassin's Apprentice,Robin Hobb,Fantasia,1995,460
978-600000925,Sherlock Holmes: Estudio en Escarlata,Arthur Conan Doyle,Misterio,1887,190
978-600000962,Asesinato en el Orient Express,Agatha Christie,Misterio,1934,220
978-600000999,La Chica del Tren,Paula Hawkins,Misterio,2015,340
978-600001036,Klara y el Sol,Kazuo Ishiguro,Novela,2021,300
978-600001073,El Principito,Antoine de Saint-Exupery,Novela,1943,96
978-600001110,Meditaciones,Marco Aurelio,Ensayo,180,210
978-600001147,El Arte de la Guerra,Sun Tzu,Ensayo,-500,110
978-600001184,Una Historia de la Lectura,Alberto Manguel,Ensayo,1996,380
978-600001221,El Universo en una Cascara de Nuez,Stephen Hawking,Ciencia,2001,220
978-600001258,Silent Spring,Rachel Carson,Ciencia,1962,290
978-600001295,Los Hermanos Karamazov,Fyodor Dostoievski,Novela,1880,824
978-600001332,Crimen y Castigo,Fyodor Dostoievski,Novela,1866,550
978-600001369,Mecanica Cuantica para Curiosos,Ana Lopez,Ciencia,2015,260
978-600001406,Breve Historia de la Filosofia,Nigel Warburton,Ensayo,1998,240
978-600001443,Los Restos del Dia,Kazuo Ishiguro,Novela,1989,245
978-600001480,Milenio Negro,Stieg Larsson,Misterio,2005,480
978-600001517,Diario de Ana Frank,Ana Frank,Biografia,1947,280
